,0,1,2,3,4,5,6,7,8,9,10,11,12,13
MB-MG530-W-B.jpg,538,1112,514,1530,538,960,528,914,466,360,528,1503,515,720
OH-MG805W-B.jpg,991,1451,606,425,616,428,1012,1658,850,953,716,665,1000,1650
MB-SD005-N-B.jpg,627,1302,636,1296,583,640,550,384,598,851,617,1117,542,367
MO-MG403-E-B.jpg,722,1782,711,1756,748,1545,736,1539,849,733,819,810,766,1184
MN-MG790W-B.jpg,709,1191,848,1631,689,1080,860,1622,688,906,789,1416,819,1524
MB-MG529-W-B.jpg,559,444,588,986,557,194,552,233,694,1457,568,598,637,1277
MO-MG404-N-A.jpg,651,786,704,1625,653,1160,645,856,678,1510,690,1437,618,622
MB-SD004-S-A.jpg,700,856,732,1489,650,615,740,1272,718,904,721,1501,647,542
MN-SD002-E-B.jpg,1349,1274,1297,921,1334,1235,1345,1378,1222,594,1317,1005,1356,1395
MN-SD001-S-A.jpg,661,904,653,1354,672,871,663,677,664,1351,658,1141,669,1098
MO-MG404-N-B.jpg,692,536,702,832,670,1751,712,758,684,1623,727,1364,720,1054
IN-MG631-E-B.jpg,781,1925,830,296,814,751,768,1714,780,1714,776,1276,793,962
MB-MG529-S-B.jpg,835,1636,858,1708,791,1370,702,697,835,1592,688,470,728,876
MB-SD004-E-B.jpg,676,882,692,1298,608,502,698,1143,703,1309,665,865,605,552
MN-MG788S-A.jpg,1326,2289,1157,985,1174,1537,1172,1195,1270,2130,1230,1870,1157,1303
OH-MG805E-A.jpg,1060,1573,945,858,1033,1182,1069,1534,1113,2287,1095,2236,1113,2174
IL-MG603-N-A.jpg,1425,2806,1388,2637,1251,1982,1106,1222,1227,1681,1180,1544,1375,2661
IA-MG245-S-B.jpg,903,1468,936,1679,902,1337,852,1190,676,621,979,2035,955,1915
MN-MG788W-B.jpg,970,1272,1098,832,1024,1073,1096,870,979,1987,988,2120,1220,609
IL-SF001-W-A.jpg,784,857,748,1615,770,1064,798,848,755,1359,751,1100,730,1634
MB-MG513-W-A.jpg,678,1273,695,1230,667,1484,675,670,691,969,705,939,679,1465
IL-MG604-N-B.jpg,790,750,808,1997,758,1669,811,2088,738,1332,736,212,770,851
MB-SD004-W-A.jpg,668,768,679,1263,690,906,670,681,679,943,620,435,676,1169
IA-MG245-W-A.jpg,819,714,864,984,972,1657,921,1387,734,432,977,1610,793,650
IL-SF003-E-A.jpg,580,1177,532,1580,551,1532,517,1754,643,582,600,1133,631,566
MB-SD005-S-B.jpg,618,755,635,1369,617,626,627,1117,615,367,626,931,632,881
MO-MG404-S-A.jpg,654,1432,645,1658,633,1816,661,666,646,958,643,1198,672,775
IA-MG245-E-B.jpg,957,2095,896,985,788,486,945,1947,861,788,744,250,887,985
MO-MG404-W-A.jpg,646,1380,665,1723,640,1073,665,1959,660,705,678,1903,649,1752
MO-MG402-N-B.jpg,672,869,699,1309,713,1334,674,1053,726,1932,667,869,730,1740
IA-MG243-S-A.jpg,806,1091,819,1095,900,1702,854,1481,881,1667,826,636,868,1503
IL-SF003-W-A.jpg,924,1635,786,450,866,1126,756,286,774,418,767,301,890,1221
IL-SF001-E-B.jpg,804,964,755,1308,793,950,782,1188,815,731,768,1186,770,1306
